Khorasan_grain_dry_raw,recommendedFor,Hypertension
Beans_Dry_Great_Northern_0_moisture,recommendedFor,Neural_Tube_Defects
Flaxseed_ground,recommendedFor,Muscle_Weakness
Potatoes_red_without_skin_raw,recommendedFor,Hypokalemia
Beans_Dry_Tan_0_moisture,recommendedFor,Teratozoospermia
Fish_catfish_farm_raised_raw,mediumIn,Protein
Yogurt_plain_nonfat,mediumIn,Zinc
Beans_Dry_Small_Red_0_moisture,recommendedFor,Fasciculation
Anchovies_canned_in_olive_oil_with_salt_drained,highIn,Magnesium
Sorghum_bran_white_unenriched_dry_raw,recommendedFor,Hyperemia
Beef_round_top_round_roast_boneless_separable_lean_only_trimmed_to_0_fat_select_raw,lowIn,Vitamin_D
Beans_cannellini_canned_sodium_added_drained_and_rinsed,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Vitamin_D,treats,Nerve_Compression_Syndromes
Ham_sliced_restaurant,mediumIn,Iron
Fish_tuna_light_canned_in_water_drained_solids,contraindicatedFor,Heart_Failure
Lobster_tail_only_frozen_wild_caught,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Bulgur_dry_raw,recommendedFor,Substance_Withdrawal_Syndrome
Beans_Dry_Brown_0_moisture,recommendedFor,Colitis
Egg_whole_dried,recommendedFor,Carcinoma__Ehrlich_Tumor
Pork_loin_boneless_raw,highIn,Fat
Beet_greens_raw,mediumIn,Potassium
Beans_Dry_Small_White_0_moisture,recommendedFor,Neoplasms
Beans_Dry_Small_White_0_moisture,recommendedFor,Insulin_Resistance
Flour_coconut,highIn,Potassium
Ham_sliced_prepackaged_deli_meat_96fat_free_water_added,contraindicatedFor,Heart_Failure
Egg_white_dried,recommendedFor,Tachycardia__Supraventricular
Crustaceans_crab_blue_swimming_lump_pasteurized_refrigerated,recommendedFor,Multiple_Myeloma
Chia_seeds_dry_raw,recommendedFor,Tremor
Egg_whole_raw_frozen_pasteurized,recommendedFor,Wounds_and_Injuries
Flour_soy_fullfat,22-rdf-syntax-ns#type,Food
Nuts_almonds_dry_roasted_with_salt_added,recommendedFor,Magnesium_Deficiency
Peanuts_raw,recommendedFor,Neural_Tube_Defects
Cheese_queso_fresco_solid,recommendedFor,Infant_Death
Beans_Dry_Small_White_0_moisture,recommendedFor,Splenic_Diseases
Flour_whole_wheat_unenriched,recommendedFor,Hemorrhage
Sesame_butter_creamy,recommendedFor,Muscle_Weakness
Beans_Dry_Navy_0_moisture,highIn,Calcium
Seeds_pumpkin_seeds_pepitas_raw,recommendedFor,Protein_Deficiency
Seeds_sunflower_seed_kernel_raw,recommendedFor,Bradycardia
Nuts_brazilnuts_raw,recommendedFor,Tachycardia__Ventricular
Buckwheat_whole_grain,recommendedFor,Nerve_Degeneration
Beans_cannellini_dry,recommendedFor,Pulpitis
Cream_cheese_full_fat_block,recommendedFor,Seizures
Pork_cured_bacon_cooked_restaurant,recommendedFor,Craniofacial_Abnormalities
Beef_short_loin_porterhouse_steak_separable_lean_only_trimmed_to_18_fat_select_raw,recommendedFor,Glioma
Beef_ground_90_lean_meat__10_fat_raw,recommendedFor,Prostatic_Neoplasms
Beans_Dry_Small_Red_0_moisture,recommendedFor,Rhabdomyolysis
Beans_Dry_Medium_Red_0_moisture,recommendedFor,Magnesium_Deficiency
Beef_ground_90_lean_meat__10_fat_raw,recommendedFor,Weight_Loss
Beans_Dry_Small_Red_0_moisture,recommendedFor,Stomach_Ulcer
Beans_kidney_light_red_canned_sodium_added_sugar_added_drained_and_rinsed,recommendedFor,Hypotension
Beans_Dry_Small_Red_0_moisture,recommendedFor,Rickets
Restaurant_Latino_pupusas_con_frijoles_pupusas_bean,highIn,Fiber
Plum_black_with_skin_raw,lowIn,Fiber
Nuts_cashew_nuts_raw,recommendedFor,Weight_Loss
Plantains_overripe_raw,recommendedFor,Muscular_Diseases
Crustaceans_crab_blue_swimming_lump_pasteurized_refrigerated,recommendedFor,Edema
Sorghum_bran_white_unenriched_dry_raw,recommendedFor,Cardiomyopathies
Bread_white_commercially_prepared,recommendedFor,Neoplasms
Beans_Dry_Medium_Red_0_moisture,highIn,Calcium
